CO,NO2,PM25,Temperature,Humidity,AQI_Level,label,prediction
993.9237262100615,24.81103333,10.375,30.88166667,66.13666667,Good,1.0,1.0
993.9237262100615,24.90513333,15.12666667,33.205,61.26666667,Average,0.0,0.0
993.9237262100615,24.96786667,12.72833333,32.865,69.07333333,Unhealthy,2.0,2.0
993.9237262100615,24.99923333,12.05666667,32.01166667,62.815,Unhealthy,2.0,2.0
993.9237262100615,25.1247,15.20666667,33.26666667,62.245,Average,0.0,0.0
993.9237262100615,25.28153333,11.24666667,32.11666667,63.74166667,Good,1.0,1.0
993.9237262100615,25.65793333,14.255,35.02166667,47.75,Average,0.0,0.0
993.9237262100615,25.6893,11.70166667,33.63,53.505,Good,1.0,1.0
993.9237262100615,25.72066667,38.19333333,31.97833333,63.17833333,Moderate,3.0,3.0
993.9237262100615,25.75203333,17.02166667,31.15,73.565,Average,0.0,0.0
993.9237262100615,25.75368421,37.19122807,35.36666667,48.94385965,Moderate,3.0,3.0
993.9237262100615,25.7834,14.68333333,33.37166667,52.54,Average,0.0,0.0
993.9237262100615,25.81476667,14.42166667,35.32,59.73,Average,0.0,0.0
993.9237262100615,25.8235082,17.41311475,36.84262295,48.43934426,Average,0.0,0.0
993.9237262100615,25.8775,10.16166667,32.025,66.96166667,Good,1.0,1.0
993.9237262100615,25.8775,14.6,32.87333333,67.40333333,Average,0.0,0.0
993.9237262100615,25.90886667,12.53833333,32.80166667,64.215,Unhealthy,2.0,2.0
993.9237262100615,26.12843333,11.13,34.58666667,55.73,Good,1.0,1.0
993.9237262100615,26.31663333,17.64166667,35.155,48.60166667,Average,0.0,0.0
993.9237262100615,26.4421,36.87333333,31.10333333,72.255,Moderate,3.0,0.0
993.9237262100615,26.66166667,24.47333333,34.83166667,57.43333333,Average,0.0,0.0
993.9237262100615,26.66166667,33.25,30.375,69.05833333,Average,0.0,0.0
993.9237262100615,26.69303333,30.07666667,33.76666667,60.59833333,Average,0.0,0.0
993.9237262100615,26.84986667,13.26166667,32.25666667,58.17333333,Average,0.0,0.0
993.9237262100615,26.84986667,22.37333333,31.705,66.63166667,Average,0.0,0.0
993.9237262100615,27.06943333,12.54333333,30.76,76.25333333,Unhealthy,2.0,2.0
